name,url,path,aliases,tags
blbl,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/blbl.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/blbl.opus,blblbl,
blocked,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/blocked.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/blocked.opus,"erased, snuffed",
blockin,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/blockin.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/blockin.opus,"blocking, blockingout, blockinout, didntseeyouthere",
blossoms,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/blossoms.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/blossoms.opus,"blossomsbloom, thousandblossoms, thousandblossomsbloom",
blue,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/blue.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/blue.opus,bluemyself,arrested
bob,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bob.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bob.opus,,
boi2,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/boi2.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/boi2.opus,elmoboi,
bone,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bone.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bone.opus,,
bonesaw,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bonesaw.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bonesaw.opus,,
bonfire,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bonfire.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bonfire.opus,"imgay2, gay10",gay
boombambop,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/boombambop.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/boombambop.opus,,
booty,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/booty.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/booty.opus,,
brexfast,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/brexfast.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/brexfast.opus,"breakfast, brexit",politician
bro,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bro.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bro.opus,,
broken,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/broken.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/broken.opus,"wwe, jimross",
brothermanbill,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/brothermanbill.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/brothermanbill.opus,,
brutal,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/brutal.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/brutal.opus,"savage, rekt",
bs,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bs.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bs.opus,,
burgerking,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/burgerking.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/burgerking.opus,"antifa, antifaburgerking",
burs,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/burs.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/burs.opus,rifleburs,
butthole,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/butthole.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/butthole.opus,,
buyer,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/buyer.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/buyer.opus,,
bye,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bye.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bye.opus,,bye
cabbages,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cabbages.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cabbages.opus,mycabbages,airbender
callmymama,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/callmymama.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/callmymama.opus,,
cando,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cando.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cando.opus,meeseeks,
cantbelieveyouvedonethis,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cantbelieveyouvedonethis.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cantbelieveyouvedonethis.opus,cantbelieve,
careful,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/careful.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/careful.opus,,
catbug,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/catbug.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/catbug.opus,,
cedarrapids,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cedarrapids.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cedarrapids.opus,,
cena,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cena.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cena.opus,johncena,
chaosemeralds,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/chaosemeralds.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/chaosemeralds.opus,,
cheerios,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cheerios.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cheerios.opus,,
